INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-02-09T01:00:00-00:00,2019-02-09T02:00:00-00:00,2019-02-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,182.59644,1
2019-02-09T04:00:00-00:00,2019-02-09T05:00:00-00:00,2019-02-08,21,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,182.73836,1
2019-02-09T03:00:00-00:00,2019-02-09T04:00:00-00:00,2019-02-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,184.3543,1
2019-02-08T14:00:00-00:00,2019-02-08T15:00:00-00:00,2019-02-08,7,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,226.94928,1
2019-02-09T06:00:00-00:00,2019-02-09T07:00:00-00:00,2019-02-08,23,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,151.99858,1
2019-02-08T23:00:00-00:00,2019-02-09T00:00:00-00:00,2019-02-08,16,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,107.18966,1
2019-02-08T20:00:00-00:00,2019-02-08T21:00:00-00:00,2019-02-08,13,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,51.6377,1
2019-02-08T12:00:00-00:00,2019-02-08T13:00:00-00:00,2019-02-08,5,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,151.93217,1
2019-02-09T07:00:00-00:00,2019-02-09T08:00:00-00:00,2019-02-08,24,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,150.0632,1
2019-02-08T21:00:00-00:00,2019-02-08T22:00:00-00:00,2019-02-08,14,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,48.10633,1
2019-02-08T08:00:00-00:00,2019-02-08T09:00:00-00:00,2019-02-08,1,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,154.71779,1
2019-02-09T05:00:00-00:00,2019-02-09T06:00:00-00:00,2019-02-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,176.40201,1
2019-02-08T19:00:00-00:00,2019-02-08T20:00:00-00:00,2019-02-08,12,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,69.4965,1
2019-02-08T18:00:00-00:00,2019-02-08T19:00:00-00:00,2019-02-08,11,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,72.20225,1
2019-02-08T13:00:00-00:00,2019-02-08T14:00:00-00:00,2019-02-08,6,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,183.75255,1
2019-02-08T11:00:00-00:00,2019-02-08T12:00:00-00:00,2019-02-08,4,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,142.63362,1
2019-02-08T09:00:00-00:00,2019-02-08T10:00:00-00:00,2019-02-08,2,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,152.04675,1
2019-02-08T17:00:00-00:00,2019-02-08T18:00:00-00:00,2019-02-08,10,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,98.16542,1
2019-02-08T16:00:00-00:00,2019-02-08T17:00:00-00:00,2019-02-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,144.27982,1
2019-02-09T00:00:00-00:00,2019-02-09T01:00:00-00:00,2019-02-08,17,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,145.98953,1
2019-02-08T22:00:00-00:00,2019-02-08T23:00:00-00:00,2019-02-08,15,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,57.13766,1
2019-02-08T15:00:00-00:00,2019-02-08T16:00:00-00:00,2019-02-08,8,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,197.91258,1
2019-02-08T10:00:00-00:00,2019-02-08T11:00:00-00:00,2019-02-08,3,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,143.82797,1
2019-02-09T02:00:00-00:00,2019-02-09T03:00:00-00:00,2019-02-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,LMP,LMP_PRC,URBAN_6_N005,ALL,1,202.88376,1
2019-02-09T02:00:00-00:00,2019-02-09T03:00:00-00:00,2019-02-08,19,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2019-02-08T16:00:00-00:00,2019-02-08T17:00:00-00:00,2019-02-08,9,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2019-02-08T23:00:00-00:00,2019-02-09T00:00:00-00:00,2019-02-08,16,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,-5.04291,2
2019-02-09T05:00:00-00:00,2019-02-09T06:00:00-00:00,2019-02-08,22,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2019-02-09T03:00:00-00:00,2019-02-09T04:00:00-00:00,2019-02-08,20,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
2019-02-09T01:00:00-00:00,2019-02-09T02:00:00-00:00,2019-02-08,18,0,URBAN_6_N005,URBAN_6_N005,URBAN_6_N005,DAM,MCC,LMP_CONG_PRC,URBAN_6_N005,ALL,1,0,2
