,action_inds,rewards,actions,cumulative_revenue
0,4,0.068800274375,TOU_discharge,0.068800274375
1,2,-0.011023201874999998,wait,0.0577770725
2,2,-0.009909178124999996,wait,0.047867894375000004
3,0,-0.10979540374999999,LMP_buy,-0.06192750937499999
4,3,-0.09140369,TOU_buy,-0.15333119937499998
5,0,-0.10144022562499999,LMP_buy,-0.25477142499999994
6,2,-0.0065671068749999974,wait,-0.26133853187499995
7,4,0.076598440625,TOU_discharge,-0.18474009124999996
8,4,0.07604142875,TOU_discharge,-0.10869866249999996
9,1,0.089420035625,LMP_sell,-0.019278626874999955
10,1,0.08886302375,LMP_sell,0.06958439687500005
11,0,-0.10032620187499999,LMP_buy,-0.03074180499999994
12,2,-0.0037820474999999978,wait,-0.03452385249999994
13,2,-0.005453083124999997,wait,-0.03997693562499993
14,2,-0.004896071249999997,wait,-0.04487300687499993
15,3,-0.08527655937499999,TOU_buy,-0.1301495662499999
16,0,0.031045211437500008,LMP_buy,-0.09910435481249989
17,4,0.075484416875,TOU_discharge,-0.02361993793749989
18,3,-0.08527655937499999,TOU_buy,-0.10889649731249988
19,1,-0.0408373539375,LMP_sell,-0.14973385124999988
20,0,0.031045211437500008,LMP_buy,-0.11868863981249987
21,1,-0.0408373539375,LMP_sell,-0.15952599374999987
22,3,-0.08527655937499999,TOU_buy,-0.24480255312499988
23,0,0.03048819956250001,LMP_buy,-0.21431435356249987
24,4,0.08878016628749999,TOU_discharge,-0.12553418727499988
25,2,-0.005103336937499997,wait,-0.13063752421249988
26,2,-0.005103336937499997,wait,-0.1357408611499999
27,2,-0.006413583712499997,wait,-0.1421544448624999
28,2,-0.005758460324999997,wait,-0.1479129051874999
29,2,-0.005103336937499997,wait,-0.1530162421249999
30,2,-0.005758460324999997,wait,-0.1587747024499999
31,2,-0.005103336937499997,wait,-0.1638780393874999
32,1,-0.0409465081125,LMP_sell,-0.2048245474999999
33,1,-0.0409465081125,LMP_sell,-0.2457710556124999
34,3,-0.1022624571,TOU_buy,-0.3480335127124999
35,1,-0.0409465081125,LMP_sell,-0.3889800208249999
36,3,-0.098331716775,TOU_buy,-0.4873117375999999
37,2,-0.0037930901624999972,wait,-0.4911048277624999
38,1,-0.0409465081125,LMP_sell,-0.5320513358749999
39,1,-0.0409465081125,LMP_sell,-0.5729978439874999
40,0,0.033360327787500005,LMP_buy,-0.5396375161999999
41,3,-0.0976765933875,TOU_buy,-0.6373141095874999
42,3,-0.0976765933875,TOU_buy,-0.7349907029749999
43,3,-0.0976765933875,TOU_buy,-0.8326672963624999
44,1,-0.0409465081125,LMP_sell,-0.8736138044749999
45,1,-0.040291384725000004,LMP_sell,-0.9139051892
46,1,-0.0409465081125,LMP_sell,-0.9548516973125
47,3,-0.0976765933875,TOU_buy,-1.0525282907
48,3,-0.0976765933875,TOU_buy,-1.1502048840874999
49,2,-0.003137966774999997,wait,-1.1533428508624999
50,1,-0.040291384725000004,LMP_sell,-1.1936342355874998
51,1,-0.0409465081125,LMP_sell,-1.2345807436999998
52,3,-0.09898684016249999,TOU_buy,-1.3335675838624999
53,3,-0.098331716775,TOU_buy,-1.4318993006374998
54,2,-0.003137966774999997,wait,-1.4350372674124998
55,3,-0.0976765933875,TOU_buy,-1.5327138607999997
56,1,-0.0409465081125,LMP_sell,-1.5736603689124997
57,1,-0.0409465081125,LMP_sell,-1.6146068770249997
58,2,-0.0037930901624999972,wait,-1.6183999671874998
59,3,-0.098331716775,TOU_buy,-1.7167316839624998
60,3,-0.0976765933875,TOU_buy,-1.8144082773499997
61,2,-0.002482843387499997,wait,-1.8168911207374996
62,2,-0.005103336937499997,wait,-1.8219944576749996
63,2,-0.005103336937499997,wait,-1.8270977946124995
64,2,-0.0062507167312499945,wait,-1.8333485113437495
65,2,-0.005171124487499994,wait,-1.8385196358312494
66,2,-0.005171124487499994,wait,-1.8436907603187493
67,2,-0.005171124487499994,wait,-1.8488618848062492
68,2,-0.0062507167312499945,wait,-1.8551126015374992
69,1,-0.0438286035375,LMP_sell,-1.8989412050749992
70,1,-0.0438286035375,LMP_sell,-1.9427698086124991
71,1,-0.04058982680625,LMP_sell,-1.983359635418749
72,0,0.03240676231875001,LMP_buy,-1.950952873099999
73,2,-0.005171124487499994,wait,-1.9561239975874989
74,3,-0.164202183975,TOU_buy,-2.1203261815624987
75,1,-0.0438286035375,LMP_sell,-2.1641547850999987
